City,Crime_Description,Victim_Age,Victim_Gender,Weapon_Used,Case_Closed
Ahmedabad,IDENTITY THEFT,16,M,Blunt Object,No
Chennai,HOMICIDE,37,M,Poison,No
Ludhiana,KIDNAPPING,48,F,Blunt Object,No
Pune,BURGLARY,49,F,Firearm,Yes
Pune,VANDALISM,30,F,Other,Yes
Delhi,ASSAULT,16,M,Firearm,Yes
Chennai,VEHICLE - STOLEN,64,F,Knife,Yes
Chennai,COUNTERFEITING,78,X,Knife,No
Mumbai,EXTORTION,41,X,Blunt Object,No
Chennai,PUBLIC INTOXICATION,29,M,Knife,No
Delhi,FRAUD,71,M,Explosives,Yes
Surat,IDENTITY THEFT,26,M,Poison,No
Visakhapatnam,FRAUD,36,F,Poison,Yes
Mumbai,ASSAULT,32,X,None,No
Bangalore,SEXUAL ASSAULT,77,F,None,No
Kolkata,COUNTERFEITING,51,F,Explosives,Yes
Ghaziabad,DRUG OFFENSE,61,M,Poison,No
Pune,ARSON,64,F,Other,No
Bangalore,CYBERCRIME,11,M,None,Yes
Bangalore,EXTORTION,62,F,Blunt Object,Yes
Hyderabad,TRAFFIC VIOLATION,50,F,Poison,Yes
Mumbai,VANDALISM,64,F,Other,Yes
Jaipur,SHOPLIFTING,69,F,Blunt Object,No
Chennai,VANDALISM,77,F,Other,No
Bangalore,DRUG OFFENSE,18,F,Other,No
Jaipur,ASSAULT,60,M,Firearm,Yes
Pune,IDENTITY THEFT,49,M,Blunt Object,No
Lucknow,PUBLIC INTOXICATION,41,F,None,No
Bangalore,VANDALISM,33,F,Explosives,No
Bhopal,BURGLARY,37,F,None,No
Bhopal,HOMICIDE,32,F,Explosives,No
Hyderabad,VANDALISM,60,M,Knife,Yes
Delhi,ILLEGAL POSSESSION,73,F,Knife,No
Patna,VEHICLE - STOLEN,24,F,Explosives,No
Kanpur,VANDALISM,34,F,Other,No
Chennai,COUNTERFEITING,32,F,Blunt Object,No
Lucknow,SEXUAL ASSAULT,33,F,Blunt Object,Yes
Varanasi,SHOPLIFTING,22,F,Explosives,No
Surat,VEHICLE - STOLEN,32,F,None,Yes
Mumbai,FRAUD,69,F,Explosives,Yes
Visakhapatnam,HOMICIDE,28,F,Firearm,No
Surat,ILLEGAL POSSESSION,42,M,Blunt Object,No
Delhi,FIREARM OFFENSE,40,M,Poison,Yes
Mumbai,SEXUAL ASSAULT,44,M,Other,No
Kolkata,ARSON,44,F,Blunt Object,Yes
Patna,DRUG OFFENSE,67,M,Knife,No
Delhi,ROBBERY,47,F,None,No
Lucknow,FIREARM OFFENSE,38,F,Blunt Object,Yes
Jaipur,ILLEGAL POSSESSION,77,F,Firearm,No
Hyderabad,DRUG OFFENSE,37,F,Blunt Object,No
Nagpur,BURGLARY,54,F,Other,Yes
Kolkata,BURGLARY,38,F,Blunt Object,Yes
Ghaziabad,PUBLIC INTOXICATION,29,M,Poison,Yes
Delhi,BURGLARY,75,M,Explosives,No
Pune,FIREARM OFFENSE,61,F,Poison,No
Meerut,BURGLARY,49,F,None,No
Kanpur,SEXUAL ASSAULT,67,F,Firearm,Yes
Ahmedabad,ASSAULT,70,F,None,No
Chennai,TRAFFIC VIOLATION,75,F,Blunt Object,No
Thane,SHOPLIFTING,53,F,Other,Yes
Mumbai,SHOPLIFTING,16,M,Poison,No
Surat,DRUG OFFENSE,30,M,Explosives,Yes
Chennai,FRAUD,56,M,Explosives,Yes
Thane,ILLEGAL POSSESSION,19,F,Blunt Object,Yes
Visakhapatnam,DRUG OFFENSE,58,F,Explosives,No
Lucknow,EXTORTION,45,F,Other,Yes
Bhopal,CYBERCRIME,25,M,None,No
Visakhapatnam,BURGLARY,22,M,Knife,Yes
Hyderabad,PUBLIC INTOXICATION,59,F,Explosives,Yes
Visakhapatnam,FIREARM OFFENSE,31,F,Firearm,No
Kolkata,FIREARM OFFENSE,58,F,Poison,No
Nagpur,ARSON,53,F,Knife,Yes
Lucknow,BURGLARY,35,F,Blunt Object,No
Chennai,ARSON,36,M,Firearm,Yes
Ahmedabad,CYBERCRIME,70,F,Knife,No
Delhi,VANDALISM,52,M,Explosives,Yes
Mumbai,KIDNAPPING,25,F,Explosives,No
Indore,IDENTITY THEFT,58,F,Knife,Yes
Mumbai,ROBBERY,39,F,Poison,No
Visakhapatnam,VEHICLE - STOLEN,54,F,None,Yes
Delhi,ASSAULT,61,F,Knife,Yes
Jaipur,FRAUD,16,F,Explosives,No
Mumbai,ROBBERY,25,F,Firearm,Yes
Kolkata,TRAFFIC VIOLATION,72,F,Blunt Object,Yes
Lucknow,PUBLIC INTOXICATION,48,M,Firearm,No
Mumbai,VANDALISM,22,M,Other,Yes
Lucknow,PUBLIC INTOXICATION,30,F,Firearm,Yes
Rajkot,ROBBERY,11,F,Firearm,No
Mumbai,HOMICIDE,16,F,Knife,No
Hyderabad,VEHICLE - STOLEN,73,F,Blunt Object,No
Kolkata,BURGLARY,72,F,Poison,No
Jaipur,CYBERCRIME,60,F,None,No
Hyderabad,FRAUD,53,M,None,Yes
Mumbai,SEXUAL ASSAULT,42,F,Firearm,No
Vasai,PUBLIC INTOXICATION,10,M,Firearm,No
Hyderabad,DRUG OFFENSE,51,F,Blunt Object,No
Nagpur,IDENTITY THEFT,26,F,Explosives,Yes
Kolkata,SEXUAL ASSAULT,71,M,Blunt Object,No
Hyderabad,IDENTITY THEFT,74,F,Explosives,Yes
Hyderabad,DRUG OFFENSE,13,F,Other,Yes
Ahmedabad,PUBLIC INTOXICATION,50,F,Knife,Yes
Mumbai,EXTORTION,69,F,Explosives,No
Kanpur,ASSAULT,34,F,Other,No
Mumbai,VEHICLE - STOLEN,38,F,Poison,Yes
Lucknow,FRAUD,44,F,Blunt Object,No
Hyderabad,VEHICLE - STOLEN,69,F,None,Yes
Lucknow,DOMESTIC VIOLENCE,12,F,Blunt Object,No
Bangalore,ARSON,21,F,Poison,Yes
Chennai,PUBLIC INTOXICATION,55,F,Blunt Object,No
Delhi,ARSON,15,F,Other,No
Visakhapatnam,ILLEGAL POSSESSION,58,F,Explosives,Yes
Delhi,COUNTERFEITING,37,F,None,No
Bangalore,HOMICIDE,49,F,Knife,Yes
Surat,EXTORTION,30,M,Poison,No
Pune,FIREARM OFFENSE,50,F,Blunt Object,Yes
Mumbai,BURGLARY,64,F,Knife,No
Lucknow,VANDALISM,43,M,Poison,Yes
Delhi,DRUG OFFENSE,32,M,Explosives,Yes
Mumbai,ILLEGAL POSSESSION,14,M,Poison,Yes
Pune,TRAFFIC VIOLATION,70,M,None,Yes
Ahmedabad,VEHICLE - STOLEN,78,F,Firearm,Yes
Delhi,KIDNAPPING,22,F,Other,Yes
Bhopal,VANDALISM,60,F,None,No
Ludhiana,SEXUAL ASSAULT,44,F,Blunt Object,No
Pune,FRAUD,30,M,Knife,No
Pune,ASSAULT,62,F,None,No
Surat,FIREARM OFFENSE,42,F,None,No
Ghaziabad,IDENTITY THEFT,73,F,Knife,Yes
Kanpur,SHOPLIFTING,25,M,Explosives,No
Ghaziabad,ROBBERY,33,M,Other,Yes
Agra,ARSON,13,F,Poison,No
Lucknow,IDENTITY THEFT,39,F,Knife,No
Bangalore,HOMICIDE,18,M,None,No
Lucknow,ILLEGAL POSSESSION,75,F,Knife,No
Delhi,VANDALISM,50,F,Other,No
Delhi,FRAUD,71,F,Other,No
Ahmedabad,PUBLIC INTOXICATION,38,F,Explosives,Yes
Mumbai,ASSAULT,12,M,Blunt Object,No
Kanpur,KIDNAPPING,57,F,Other,No
Jaipur,CYBERCRIME,47,F,Firearm,Yes
Delhi,DOMESTIC VIOLENCE,73,F,Other,No
Mumbai,FIREARM OFFENSE,41,F,Blunt Object,Yes
Mumbai,ILLEGAL POSSESSION,45,F,None,No
Varanasi,ASSAULT,79,F,Firearm,Yes
Ludhiana,IDENTITY THEFT,17,M,Firearm,No
Kolkata,PUBLIC INTOXICATION,15,F,Knife,No
Meerut,CYBERCRIME,44,F,Other,Yes
Bangalore,COUNTERFEITING,28,F,Knife,No
Agra,IDENTITY THEFT,41,F,None,Yes
Patna,SHOPLIFTING,46,F,Knife,Yes
Bhopal,DRUG OFFENSE,35,F,Blunt Object,Yes
Bangalore,ILLEGAL POSSESSION,67,M,None,No
Delhi,IDENTITY THEFT,23,F,Knife,No
Chennai,KIDNAPPING,39,F,Other,No
Bangalore,DOMESTIC VIOLENCE,48,F,Blunt Object,No
Pune,DOMESTIC VIOLENCE,71,F,Blunt Object,Yes
Hyderabad,COUNTERFEITING,32,F,Other,No
Ahmedabad,HOMICIDE,18,F,Firearm,No
Delhi,VEHICLE - STOLEN,38,F,Poison,Yes
Kolkata,ASSAULT,27,F,Blunt Object,Yes
Meerut,COUNTERFEITING,30,F,Knife,Yes
Surat,CYBERCRIME,17,F,None,No
Pune,SHOPLIFTING,39,F,Knife,No
Pune,ARSON,66,F,Firearm,No
Ghaziabad,SEXUAL ASSAULT,11,F,Firearm,Yes
Ahmedabad,VANDALISM,54,M,Firearm,Yes
Delhi,VANDALISM,79,M,Explosives,Yes
Delhi,FRAUD,12,F,Firearm,Yes
Lucknow,DRUG OFFENSE,19,F,Blunt Object,No
Kalyan,TRAFFIC VIOLATION,21,F,Knife,Yes
Agra,COUNTERFEITING,24,M,None,Yes
Jaipur,TRAFFIC VIOLATION,58,M,Poison,No
Hyderabad,SEXUAL ASSAULT,51,F,Blunt Object,Yes
Indore,DRUG OFFENSE,40,F,None,No
Surat,ROBBERY,64,M,Blunt Object,Yes
Lucknow,BURGLARY,66,F,None,Yes
Chennai,FIREARM OFFENSE,28,F,Firearm,Yes
Mumbai,ILLEGAL POSSESSION,54,F,None,No
Agra,FRAUD,42,F,Knife,No
Pune,DOMESTIC VIOLENCE,72,M,Blunt Object,Yes
Bangalore,TRAFFIC VIOLATION,23,F,Poison,No
Mumbai,CYBERCRIME,53,F,Poison,No
Ahmedabad,SEXUAL ASSAULT,28,F,Firearm,Yes
Hyderabad,SEXUAL ASSAULT,27,F,None,No
Mumbai,FRAUD,67,F,Other,Yes
Bangalore,FRAUD,70,F,Other,Yes
Delhi,VANDALISM,75,F,Blunt Object,Yes
Nagpur,IDENTITY THEFT,66,F,None,Yes
Hyderabad,EXTORTION,24,F,Knife,Yes
Chennai,CYBERCRIME,44,M,Explosives,Yes
Chennai,KIDNAPPING,63,F,Knife,No
Delhi,IDENTITY THEFT,18,M,Blunt Object,Yes
Ghaziabad,PUBLIC INTOXICATION,19,F,None,No
Jaipur,DOMESTIC VIOLENCE,49,M,None,Yes
Delhi,ILLEGAL POSSESSION,33,F,Poison,No
Lucknow,DOMESTIC VIOLENCE,56,M,Other,Yes
Ahmedabad,PUBLIC INTOXICATION,32,M,Explosives,Yes
Hyderabad,EXTORTION,25,F,Explosives,Yes
Delhi,ARSON,62,F,Firearm,No
Nashik,HOMICIDE,56,F,Blunt Object,No
Srinagar,COUNTERFEITING,27,F,Blunt Object,Yes
Nagpur,FRAUD,63,M,Explosives,No
Mumbai,DRUG OFFENSE,34,F,Blunt Object,Yes
Lucknow,KIDNAPPING,16,F,Firearm,Yes
Hyderabad,SHOPLIFTING,59,F,Other,Yes
Thane,VEHICLE - STOLEN,44,F,None,Yes
Bangalore,COUNTERFEITING,21,F,Blunt Object,Yes
Patna,ASSAULT,59,M,None,No
Hyderabad,EXTORTION,41,F,Explosives,No
Kolkata,PUBLIC INTOXICATION,43,F,Knife,Yes
Bhopal,COUNTERFEITING,15,M,Explosives,No
Delhi,FIREARM OFFENSE,34,M,Blunt Object,No
Kolkata,IDENTITY THEFT,19,F,Firearm,Yes
Bangalore,VEHICLE - STOLEN,73,M,Explosives,Yes
Delhi,SEXUAL ASSAULT,44,M,Explosives,Yes
Ahmedabad,SHOPLIFTING,14,F,Knife,No
Kolkata,COUNTERFEITING,73,M,None,Yes
Surat,FRAUD,49,F,Other,No
Pune,TRAFFIC VIOLATION,61,M,Other,No
Nagpur,BURGLARY,68,F,Knife,No
Kolkata,VEHICLE - STOLEN,24,F,None,Yes
Ludhiana,KIDNAPPING,69,F,Poison,Yes
Bangalore,FRAUD,55,F,Poison,No
Chennai,ROBBERY,49,F,Knife,Yes
Bangalore,CYBERCRIME,40,F,Firearm,Yes
Surat,HOMICIDE,51,F,Explosives,No
Mumbai,VANDALISM,35,F,Poison,Yes
Pune,COUNTERFEITING,65,F,Blunt Object,No
Jaipur,VEHICLE - STOLEN,61,F,Other,Yes
Ahmedabad,VANDALISM,35,M,Poison,No
Pune,IDENTITY THEFT,45,M,Blunt Object,No
Patna,ARSON,32,F,None,Yes
Mumbai,HOMICIDE,11,F,Other,No
Kolkata,ASSAULT,40,M,Poison,No
Mumbai,TRAFFIC VIOLATION,23,F,Firearm,Yes
Ludhiana,ARSON,14,M,Poison,Yes
Visakhapatnam,CYBERCRIME,23,M,Other,No
Chennai,CYBERCRIME,35,M,Knife,No
Delhi,FIREARM OFFENSE,65,M,Knife,No
Hyderabad,FIREARM OFFENSE,51,F,Knife,No
Mumbai,COUNTERFEITING,35,F,Other,No
Bangalore,VANDALISM,59,F,Blunt Object,Yes
Pune,FRAUD,48,F,Knife,Yes
Kalyan,SEXUAL ASSAULT,18,F,Poison,Yes
Nagpur,ROBBERY,58,F,Firearm,Yes
Kolkata,ILLEGAL POSSESSION,65,F,Knife,No
Nagpur,EXTORTION,38,F,Blunt Object,Yes
Ahmedabad,IDENTITY THEFT,77,F,Explosives,Yes
Thane,DOMESTIC VIOLENCE,70,F,Explosives,Yes
Nagpur,EXTORTION,11,F,Other,Yes
Delhi,FIREARM OFFENSE,45,F,Other,No
Thane,SHOPLIFTING,71,F,Firearm,Yes
Hyderabad,TRAFFIC VIOLATION,11,M,Other,Yes
Nashik,ILLEGAL POSSESSION,39,M,None,Yes
Meerut,FIREARM OFFENSE,68,M,Explosives,No
Kolkata,PUBLIC INTOXICATION,76,M,Explosives,Yes
Hyderabad,EXTORTION,47,M,Blunt Object,Yes
Ahmedabad,IDENTITY THEFT,22,F,Other,No
Mumbai,EXTORTION,33,M,Poison,Yes
